,car_name,price,instalment,mileage,depreciation,purchase_date,remaining,remaining_years,remaining_months,source
1260,Lamborghini Gallardo LP570-4 Superleggera (COE till 09/2030),393800,3262,58000,48757,2010/11/30,8 yrs 0 mths ,8,0,Carbuyer
1261,Mercedes-Benz A-Class A45 AMG 4MATIC+,126888,3455,99800,47841,2014/02/09,1 yrs 11 mths ,1,11,Carbuyer
1262,Mercedes-Benz E-Class E200 Mild Hybrid Sport,242800,2012,10,28977,2021/01/22,8 yrs 4 mths ,8,4,Carbuyer
1263,Mercedes-Benz GLA-Class GLA200 Sport,198080,1641,8500,20555,2021/03/05,8 yrs 7 mths ,8,7,Carbuyer
1264,Porsche Macan 2.0A PDK,385000,3189,10,41084,2022/01/19,9 yrs 4 mths ,9,4,Carbuyer
1266,HYUNDAI H1 STAREX 2.5 CRDI MT ABS AIRBAG 2WD,29800,518,114000,9431,2015/12/10,3 yrs 1 mths ,3,1,Carbuyer
1269,TOYOTA HIACE DX 2.8 AUTO,76800,657,34000,11129,2019/03/07,6 yrs 9 mths ,6,9,Carbuyer
1271,MITSUBISHI CANTER FEB21ER3SDEB,35800,901,120384,16193,2014/03/11,2 yrs 1 mths ,2,1,Carbuyer
1272,Toyota Hiace 3.0M,72800,610,55771,10304,2019/04/09,6 yrs 11 mths ,6,11,Carbuyer
1274,Toyota Hiace 3.0M,78800,653,55123,9541,2020/12/11,8 yrs 2 mths ,8,2,Carbuyer
1275,Toyota Hiace 2.8A DX,78800,674,61195,11422,2019/03/07,6 yrs 9 mths ,6,9,Carbuyer
1277,BMW 2 Series Active Tourer 218i Sport,157800,1308,5000,15021,2021/10/28,9 yrs 1 mths ,9,1,Carbuyer
1278,Lexus ES250 Executive Sunroof,105800,1366,94000,19824,2016/09/12,4 yrs 3 mths ,4,3,Carbuyer
1279,Maserati Quattroporte 3.0A,228800,2757,48000,31651,2017/04/28,4 yrs 7 mths ,4,7,Carbuyer
1280,Porsche Boxster S 3.4A PDK (COE till 01/2031),198800,1647,61888,23628,2011/02/25,8 yrs 4 mths ,8,4,Carbuyer
1283,BMW M Series M5 Competition,498800,4132,14999,49314,2020/09/09,8 yrs 0 mths ,8,0,Carbuyer
1284,Mercedes-Benz A-Class A45 S AMG 4MATIC+ Plus,288800,2393,19200,29569,2020/11/17,8 yrs 2 mths ,8,2,Carbuyer
1285,Mercedes-Benz CLS-Class CLS350 (COE till 03/2031),126800,1051,134000,14787,2011/02/06,8 yrs 6 mths ,8,6,Carbuyer
1286,Volkswagen Touran 1.4 TSI DSG (A),157800,1308,13232,16672,2021/01/04,8 yrs 6 mths ,8,6,Carbuyer
1287,Hyundai LX2 Palisade 3.5A,238800,1978,150,24103,2021/08/18,8 yrs 11 mths ,8,11,Carbuyer
1288,Mercedes-Benz GLA-Class GLA45 S AMG 4MATIC+ Plus,358800,2972,388,33880,2021/09/21,9 yrs 0 mths ,9,0,Carbuyer
1291,Volkswagen Golf GTI 5DR Sunroof,81800,1235,83000,18393,2016/04/14,3 yrs 7 mths ,3,7,Carbuyer
1294,BMW 5 Series 520i XL (COE till 02/2030),92000,763,154000,12296,2010/02/26,7 yrs 5 mths ,7,5,Carbuyer
1295,Lamborghini Huracan EVO 5.2A V10,938000,7770,2900,99545,2019/10/23,7 yrs 1 mths ,7,1,Carbuyer
1296,Maserati GranCabrio 4.7A (COE till 03/2030),188800,1564,109000,24923,2010/06/23,7 yrs 6 mths ,7,6,Carbuyer
1297,Mercedes-Benz G-Class G63 AMG 4MATIC,650000,5384,22000,69192,2020/03/18,7 yrs 6 mths ,7,6,Carbuyer
1298,Mercedes-Benz G-Class G63 AMG 4MATIC,660000,5467,9600,73825,2019/11/22,7 yrs 2 mths ,7,2,Carbuyer
1299,Mercedes-Benz SL-Class SL350 (COE till 04/2028),89800,907,85000,15888,2008/04/29,5 yrs 7 mths ,5,7,Carbuyer
1301,Porsche 718 Cayman GT4 4.0M,498000,4125,990,66210,2020/03/13,7 yrs 6 mths ,7,6,Carbuyer
1302,Mercedes-Benz GLA-Class GLA200 Sport Executive (A),179800,1490,27181,18921,2021/12/01,8 yrs 4 mths ,8,4,Carbuyer
1303,Honda Fit 1.3A (OPC),85888,712,16,10092,2020/06/11,8 yrs 2 mths ,8,2,Carbuyer
1306,Porsche Cayman 2.7A Tip (COE till 04/2028),125000,1262,130000,22094,2008/06/28,5 yrs 7 mths ,5,7,Carbuyer
1307,Audi A5 Coupe 2.0A TFSI Quattro,55800,3412,79500,30211,2013/07/31,10 mths ,10,0,Carbuyer
1308,MERCEDES BENZ AMG GT S (ZR19/20 LED),599000,4962,9980,62417,2020/02/13,7 yrs 5 mths ,7,5,Carbuyer
1309,Mercedes-Benz CLA-Class CLA180 AMG Line,173000,1433,45000,18512,2020/05/08,7 yrs 10 mths ,7,10,Carbuyer
1310,Porsche Taycan Electric 4S Performance Battery Plus,655988,5434,88,56956,2022/01/28,9 yrs 4 mths ,9,4,Carbuyer
1311,Porsche Cayenne Coupe E-Hybrid 3.0A Tip,509988,4225,88,47536,2021/09/17,9 yrs 0 mths ,9,0,Carbuyer
1312,Porsche 911 Carrera Coupe 3.0A PDK,627988,5202,911,58211,2021/10/09,9 yrs 0 mths ,9,0,Carbuyer
1313,Porsche 911 Carrera Cabriolet 3.0A,694988,5757,66,63175,2021/09/17,9 yrs 0 mths ,9,0,Carbuyer
1314,Mercedes-Benz G-Class G63 AMG 4MATIC Premium Plus,798988,6618,85,73884,2021/11/11,9 yrs 2 mths ,9,2,Carbuyer
1315,Audi A6 Plug-in Hybrid 2.0A 50 TFSI e Quattro S-Tronic Sport,238988,1980,99,23754,2021/06/17,8 yrs 9 mths ,8,9,Carbuyer
1316,TOYOTA HIACE DX 2.8 AUTO,87800,728,32000,11849,2020/07/01,7 yrs 4 mths ,7,4,Carbuyer
1317,Audi A6 2.0A TFSI MU (New 10-yr COE),109800,910,135000,11889,2011/11/28,9 yrs 2 mths ,9,2,Carbuyer
1318,BMW 3 Series 316i Sport,36800,2802,107215,32591,2013/05/17,8 mths ,8,0,Carbuyer
1320,Kia Cerato Forte Koup 1.6M SX Sunroof (COE till 01/2025),27800,628,153000,11531,2010/05/13,2 yrs 4 mths ,2,4,Carbuyer
1329,Mercedes-Benz A-Class A180,65800,1143,102000,17786,2015/04/11,3 yrs 1 mths ,3,1,Carbuyer
1330,Mitsubishi Outlander 2.0A,100800,955,27067,15127,2018/10/09,6 yrs 0 mths ,6,0,Carbuyer
1331,Audi A7 Sportback 3.0A TFSI Quattro (COE till 10/2031),149800,1241,129000,16351,2012/05/31,9 yrs 1 mths ,9,1,Carbuyer
1332,Hyundai Avante 1.6A (COE till 10/2028),47800,448,98700,7817,2008/10/15,6 yrs 1 mths ,6,1,Carbuyer
1334,Toyota C-HR Hybrid 1.8A S,76800,819,58174,13988,2017/12/28,5 yrs 3 mths ,5,3,Carbuyer
1335,Toyota C-HR Hybrid 1.8A S,74800,798,58154,13680,2017/12/18,5 yrs 3 mths ,5,3,Carbuyer
1336,Mercedes-Benz S-Class S500L Mild Hybrid AMG Line,395800,3420,58000,44791,2019/05/16,6 yrs 8 mths ,6,8,Carbuyer
1338,Porsche Cayenne E-Hybrid 3.0A Tip,390800,3452,50000,45953,2019/03/21,6 yrs 6 mths ,6,6,Carbuyer
1339,Porsche Taycan Electric Turbo,770988,6386,88,71333,2021/09/22,9 yrs 0 mths ,9,0,Carbuyer
1340,Porsche Cayenne Coupe 3.0A Tip,486988,4034,50,46088,2021/05/10,9 yrs 0 mths ,9,0,Carbuyer
1341,Porsche Cayenne Coupe 3.0A Tip,485988,4026,50,46830,2021/07/28,8 yrs 10 mths ,8,10,Carbuyer
1342,Porsche Cayenne Coupe 3.0A Tip,486988,4034,88,45401,2021/11/26,9 yrs 2 mths ,9,2,Carbuyer
1343,Mercedes-Benz E-Class E200 Mild Hybrid AMG Line Estate,267988,2220,88,25920,2021/09/27,9 yrs 0 mths ,9,0,Carbuyer
1344,MINI Electric Level 3,189988,1574,33,20081,2021/12/13,9 yrs 3 mths ,9,3,Carbuyer
1345,Mercedes-Benz E-Class E300 Coupe Mild Hybrid AMG Line Premium Plus Night Edition,337988,2800,50,30715,2022/02/17,9 yrs 5 mths ,9,5,Carbuyer
1346,Mercedes-Benz E-Class E200 Mild Hybrid AMG Line Estate,267988,2220,50,24300,2022/02/19,9 yrs 5 mths ,9,5,Carbuyer
1347,Mercedes-Benz E-Class E200 Mild Hybrid AMG Line Estate,267988,2220,33,25790,2021/10/13,9 yrs 1 mths ,9,1,Carbuyer
1348,BMW 3 Series Plug-in Hybrid 330e M-Sport,290988,2411,25,30475,2022/03/23,9 yrs 6 mths ,9,6,Carbuyer
1349,BMW X1 sDrive18i M-Sport,178800,1481,100,16438,2022/01/28,9 yrs 4 mths ,9,4,Carbuyer
1350,BMW Z4 sDrive23i (New 10-yr COE),125800,1042,123000,12580,2012/05/21,9 yrs 8 mths ,9,8,Carbuyer
1351,Porsche 911 Targa 4S PDK,817988,6776,18,76748,2022/02/23,9 yrs 5 mths ,9,5,Carbuyer
1352,Porsche 911 Carrera S Coupe 3.8A PDK (New 10-yr COE),448000,3711,41000,36885,2012/10/18,10 yrs 1 mths ,10,1,Carbuyer
1353,Mercedes-Benz CLA-Class CLA200 AMG Line Premium Plus,224988,1864,88,20881,2022/10/03,9 yrs 6 mths ,9,6,Carbuyer
1354,Honda Civic Type R 2.0M (COE till 03/2027),120800,1480,155000,26418,2007/03/07,4 yrs 6 mths ,4,6,Carbuyer
1355,Porsche Macan S 3.0A PDK Panoramic Roof,394988,3272,27,35497,2022/03/16,9 yrs 6 mths ,9,6,Carbuyer
1356,Porsche Cayenne Coupe 3.0A Tip,486988,4034,38,46637,2021/06/25,8 yrs 9 mths ,8,9,Carbuyer
1357,Mercedes-Benz GLE-Class GLE450 Mild Hybrid 4MATIC,388988,3222,66,35554,2022/12/03,9 yrs 6 mths ,9,6,Carbuyer
1358,BMW M Series M4 Coupe Competition Package,492988,4084,66,51631,2022/03/23,9 yrs 6 mths ,9,6,Carbuyer
1359,Bentley Continental GT 4.0A V8,922988,7645,88,83682,2021/06/28,8 yrs 9 mths ,8,9,Carbuyer
1360,Honda N-Box Slash GL,120800,1001,38,12435,2022/10/03,9 yrs 6 mths ,9,6,Carbuyer
1361,Honda N-Box Slash GL,120800,1001,68,12748,2021/12/16,9 yrs 3 mths ,9,3,Carbuyer
1362,Mercedes-Benz GLA-Class GLA200 AMG Line,216800,1796,66,21151,2022/04/01,9 yrs 3 mths ,9,3,Carbuyer
1363,Porsche Macan 2.0A PDK,336800,2790,38,30903,2022/04/03,9 yrs 5 mths ,9,5,Carbuyer
1364,Honda N-Box Slash GL,120800,1001,88,13291,2021/07/30,8 yrs 10 mths ,8,10,Carbuyer
1365,Porsche Macan 2.0A PDK,339888,2816,5,35596,2022/03/23,9 yrs 6 mths ,9,6,Carbuyer
1366,BMW M Series M3 Sedan,479999,3976,20,50270,2022/03/23,9 yrs 6 mths ,9,6,Carbuyer
1367,Honda Vezel 1.5A G Honda Sensing,133800,1109,62,14039,2021/11/19,9 yrs 2 mths ,9,2,Carbuyer
1368,Mercedes-Benz CLA-Class CLA250 AMG Line,234800,1945,88,22393,2022/01/24,9 yrs 4 mths ,9,4,Carbuyer
1370,Toyota C-HR Hybrid 1.8A S,82800,859,55200,14279,2018/02/27,5 yrs 5 mths ,5,5,Carbuyer
1371,Mercedes-Benz E-Class E200 CGI (COE till 04/2031),90990,754,153843,10510,2011/06/09,8 yrs 7 mths ,8,7,Carbuyer
1372,Lexus RX300 Executive,197800,1639,48765,22885,2019/11/15,7 yrs 2 mths ,7,2,Carbuyer
1374,BMW 3 Series 316i Sport,135888,5591,142003,93255,2013/12/20,1 yrs 3 mths ,1,3,Carbuyer
1375,Volkswagen Tiguan 1.4A TSI BMT Panoramic,50000,1636,85000,20575,2014/04/25,1 yrs 7 mths ,1,7,Carbuyer
1377,Porsche Boxster 2.7A Tip (COE till 11/2025),79800,1351,111000,24747,2005/11/25,3 yrs 2 mths ,3,2,Carbuyer
1378,Honda Vezel 1.5A X,63388,819,48000,13279,2016/09/12,4 yrs 3 mths ,4,3,Carbuyer
1380,BMW 3 Series 325Ci Cabriolet (COE till 06/2031),79800,661,152585,9043,2001/03/08,8 yrs 9 mths ,8,9,Carbuyer
1381,BMW 2 Series 218i Gran Coupe M-Sport,161800,1341,13500,16871,2020/12/29,8 yrs 3 mths ,8,3,Carbuyer
1382,Honda CR-Z Hybrid 1.5A (COE till 04/2031),96888,803,117621,11191,2011/05/24,8 yrs 7 mths ,8,7,Carbuyer
1383,Mercedes-Benz E-Class E200 Mild Hybrid AMG Line Sunroof,277888,2302,13,32631,2021/11/03,8 yrs 6 mths ,8,6,Carbuyer
1385,Porsche Panamera 3.6A PDK (New 10-yr COE),188888,1565,137009,20147,2012/01/18,9 yrs 4 mths ,9,4,Carbuyer
1386,MINI Cooper S Cabriolet 1.6A (COE till 07/2030),89800,744,80000,11377,2010/07/26,7 yrs 10 mths ,7,10,Carbuyer
1387,Kia Cerato Forte 1.6A SX (New 5-yr COE),42800,534,103000,9537,2012/02/29,4 yrs 5 mths ,4,5,Carbuyer
1389,Land Rover Range Rover Evoque 2.0A Prestige 5DR (New 10-yr COE),144800,1200,93000,15070,2012/12/04,9 yrs 7 mths ,9,7,Carbuyer
1390,Infiniti QX80 5.6A,147800,2097,49000,25206,2016/04/08,3 yrs 10 mths ,3,10,Carbuyer
1391,Toyota Camry 2.4A (COE till 03/2024),30888,1065,144144,19884,2009/03/25,1 yrs 6 mths ,1,6,Carbuyer
1394,BMW 3 Series 316i Sport (New 10-yr COE),99888,828,116000,8096,2013/03/28,10 yrs 6 mths ,10,6,Carbuyer
1395,Volkswagen Scirocco 1.4A TSI (COE till 09/2030),72800,603,201800,9060,2010/09/16,8 yrs 0 mths ,8,0,Carbuyer
1396,Toyota C-HR Hybrid 1.8A S,82800,815,33129,13309,2018/06/29,5 yrs 9 mths ,5,9,Carbuyer
1397,Honda Shuttle Hybrid 1.5A G,56800,775,68000,13377,2016/09/27,4 yrs 0 mths ,4,0,Carbuyer
1398,Mercedes-Benz C-Class C180K (New 10-yr COE),82888,687,92000,8475,2012/06/14,9 yrs 9 mths ,9,9,Carbuyer
1399,Nissan NV200 1.5 Panel Van (M),47800,586,111000,10565,2017/03/14,4 yrs 6 mths ,4,6,Carbuyer
1401,Lexus NX300 Luxury Moonroof,211800,1755,21000,22398,2020/10/26,8 yrs 1 mths ,8,1,Carbuyer
1402,Maserati GranTurismo 4.2A,133800,10188,105000,123080,2013/05/14,8 mths ,8,0,Carbuyer
1408,Mazda 3 Sedan Mild Hybrid  1.5 Classic (A),117800,976,50,12386,2022/09/03,9 yrs 6 mths ,9,6,Carbuyer
1409,Chevrolet Cruze 1.6A LS,46800,615,53000,9416,2016/11/29,4 yrs 2 mths ,4,2,Carbuyer
1410,BMW 2 Series 216i Active Tourer,104800,906,55000,13130,2019/05/14,6 yrs 8 mths ,6,8,Carbuyer
1411,BMW 2 Series 216d Active Tourer,77800,938,82000,14572,2017/04/19,4 yrs 7 mths ,4,7,Carbuyer
1412,Mercedes-Benz S-Class S320L,312800,2591,16000,35026,2019/11/10,7 yrs 1 mths ,7,1,Carbuyer
1413,Volkswagen Golf 1.0A TSI,75800,746,35000,11449,2018/06/28,5 yrs 9 mths ,5,9,Carbuyer
1414,Mazda CX-30 2.0A Elegance,120800,1001,6500,14419,2020/03/18,7 yrs 6 mths ,7,6,Carbuyer
1416,Mercedes-Benz GLA-Class GLA180 Urban Edition,143800,1192,21000,15820,2020/11/25,8 yrs 2 mths ,8,2,Carbuyer
1420,BMW M Series M5 Sunroof (New 10-yr COE),219800,1821,86000,16642,2013/07/02,10 yrs 5 mths ,10,5,Carbuyer
1421,Nissan Sylphy 1.5A (COE till 08/2030),64800,537,86700,8108,2010/08/31,7 yrs 11 mths ,7,11,Carbuyer
1422,Honda CR-Z Hybrid 1.5M (COE till 01/2031),92800,769,155155,11030,2011/03/15,8 yrs 4 mths ,8,4,Carbuyer
1423,Toyota Corolla Altis 1.6A Standard,106800,885,10000,11351,2021/03/24,8 yrs 6 mths ,8,6,Carbuyer
1424,Toyota Raize 1.0A X,109888,911,150,11925,2021/07/09,9 yrs 0 mths ,9,0,Carbuyer
1425,Honda Vezel 1.5A X Honda Sensing,63800,745,47117,11971,2017/04/07,4 yrs 9 mths ,4,9,Carbuyer
1426,Honda Freed Hybrid 1.5A G,82800,815,42113,12869,2018/12/06,5 yrs 9 mths ,5,9,Carbuyer
1427,Honda City 1.5A LX VTEC (COE till 04/2026,32800,496,136712,9008,2011/04/26,3 yrs 7 mths ,3,7,Carbuyer
1428,BMW 5 Series 520i Touring Mild Hybrid SE,268888,2228,30,31564,2021/12/03,8 yrs 6 mths ,8,6,Carbuyer
1429,Audi A5 Coupe 2.0A TFSI Quattro,106800,1515,68000,19437,2016/07/30,3 yrs 10 mths ,3,10,Carbuyer
1430,BMW 1 Series 116i (New 10-yr COE),81000,671,138000,8635,2012/01/20,9 yrs 4 mths ,9,4,Carbuyer
1431,BMW Z4 sDrive23i (New 10-yr COE),125800,1042,77000,13142,2012/03/30,9 yrs 6 mths ,9,6,Carbuyer
1433,Hyundai Elantra 1.6A GLS S,75800,702,28000,11258,2018/07/11,6 yrs 2 mths ,6,2,Carbuyer
1434,Hyundai Elantra 1.6A Elite (New 5-yr COE),65800,768,136000,13677,2012/06/27,4 yrs 9 mths ,4,9,Carbuyer
1435,Honda Civic 1.6A VTi (COE till 03/2029),72800,643,56000,11072,2009/01/04,6 yrs 6 mths ,6,6,Carbuyer
1436,Toyota Wish 1.8A X (COE till 08/2030),66800,554,150000,8410,2010/08/13,7 yrs 11 mths ,7,11,Carbuyer
1437,MERCEDES BENZ E200 SALOON AMG LUXURY M-HYBRID AUTO,258800,2144,4800,25135,2021/08/27,8 yrs 11 mths ,8,11,Carbuyer
1438,BMW 5 Series 535i Gran Turismo Sunroof (COE till 09/2031),117800,976,128000,12978,2011/11/10,9 yrs 0 mths ,9,0,Carbuyer
1439,HONDA ODYSSEY 2.4L SUNROOF,45800,1770,69560,24353,2014/09/01,1 yrs 4 mths ,1,4,Carbuyer
1440,TESLA MODEL 3 STANDARD RANGE,198888,1648,388,19930,2021/09/11,9 yrs 2 mths ,9,2,Carbuyer
1441,MINI COOPER S,45800,663,162800,11984,2006/12/07,3 yrs 9 mths ,3,9,Carbuyer
1442,Audi RS 4 Avant 2.9A TFSI Quattro Tip,369800,3196,10988,55225,2019/05/16,6 yrs 8 mths ,6,8,Carbuyer
1443,Audi RS 7 Sportback Mild Hybrid 4.0 TFSI QU Tip (A),548800,4546,6988,55107,2021/02/25,8 yrs 5 mths ,8,5,Carbuyer
1444,BENTLEY BENTAYGA 6.0 AT SR,635800,6979,38488,83726,2017/01/11,5 yrs 1 mths ,5,1,Carbuyer
1445,BMW M Series M3 Sedan Competition Package,479800,3975,3288,43674,2021/07/12,9 yrs 3 mths ,9,3,Carbuyer
1446,HONDA STEPWAGON G WELCAB 7-SEATER 1.5 CVT,145800,1208,12588,16565,2020/07/14,7 yrs 10 mths ,7,10,Carbuyer
1447,Mercedes-Benz C-Class C63 S AMG,413800,3428,9888,56614,2019/12/27,7 yrs 3 mths ,7,3,Carbuyer
1448,PORSCHE 911 SPEEDSTER MANUAL,1268000,10503,5388,136078,2020/03/03,7 yrs 5 mths ,7,5,Carbuyer
1449,Porsche Panamera 4S 2.9A PDK,541800,4488,7988,76171,2019/10/16,7 yrs 1 mths ,7,1,Carbuyer
1450,Toyota Vellfire 3.5A Executive Lounge,346800,2873,5288,45944,2020/03/23,7 yrs 6 mths ,7,6,Carbuyer
1451,MERCEDES BENZ C200 AVG (R17 LED),165900,1419,30000,20587,2019/12/06,6 yrs 9 mths ,6,9,Carbuyer
1452,MERCEDES BENZ C 180 KOMPRESSOR,88900,737,120000,9365,2012/03/19,9 yrs 5 mths ,9,5,Carbuyer
1453,NISSAN KICKS PREMIUM PLUS 1.2L E-POWER,115800,960,32000,13063,2021/04/02,8 yrs 4 mths ,8,4,Carbuyer
1455,MINI Cooper Cabriolet 1.5A,173800,1440,9723,19176,2020/09/16,8 yrs 0 mths ,8,0,Carbuyer
1458,BMW 3 Series 320i Sport,48600,2707,97474,26509,2013/08/31,11 mths ,11,0,Carbuyer
1459,Honda Airwave 1.5A M (COE till 11/2026),35998,474,141088,8488,2007/09/01,4 yrs 2 mths ,4,2,Carbuyer
1460,"ALPINA BMW ALPINA B3 BITURBO, RHD",191800,2350,104007,29601,2017/03/17,4 yrs 6 mths ,4,6,Carbuyer
1461,AUDI SQ5 3.0 TFSI QUATTRO,136800,2261,37144,29666,2015/12/29,3 yrs 3 mths ,3,3,Carbuyer
1462,Volkswagen Scirocco GP 1.4A TSI,67800,982,110000,15255,2016/06/27,3 yrs 9 mths ,3,9,Carbuyer
1464,Toyota Hiace 2.8A DX,96800,802,25,10210,2022/01/28,9 yrs 4 mths ,9,4,Carbuyer
1465,BMW X4 xDrive28i M-Sport Sunroof,129800,1738,120000,23933,2016/10/24,4 yrs 1 mths ,4,1,Carbuyer
1466,Toyota Yaris Cross 1.5A X,108988,903,60,11712,2021/09/28,9 yrs 0 mths ,9,0,Carbuyer
1467,Porsche 911 Turbo S Coupe 3.8A PDK (COE till 04/2031),438800,3635,43777,50684,2011/12/05,8 yrs 7 mths ,8,7,Carbuyer
1468,Mercedes-Benz G-Class G350d AMG Line 4MATIC Premium,459800,3809,10600,49356,2020/06/18,7 yrs 9 mths ,7,9,Carbuyer
1472,Honda HR-V 1.5A DX,82988,750,49000,11455,2019/01/25,6 yrs 4 mths ,6,4,Carbuyer
1473,MERCEDES BENZ CLA200 AMG LINE (R18 LED),162988,1379,19500,20497,2019/07/31,6 yrs 10 mths ,6,10,Carbuyer
1474,MINI One 1.6A (COE till 12/2025),37300,617,144825,11289,2010/12/24,3 yrs 3 mths ,3,3,Carbuyer
1475,Volkswagen Scirocco GP 1.4A TSI,77800,894,60000,13951,2017/07/28,4 yrs 10 mths ,4,10,Carbuyer
1476,BMW 5 Series 530i M-Sport,162800,1787,90000,24317,2017/10/25,5 yrs 1 mths ,5,1,Carbuyer
1477,MINI Cooper S 1.6A Sunroof (New 10-yr COE),92800,769,95000,9792,2012/02/24,9 yrs 5 mths ,9,5,Carbuyer
1478,PORSCHE CAYENNE V6 E5 TIP,116800,6505,164000,65142,2013/08/14,11 mths ,11,0,Carbuyer
1479,BMW 7 Series 740Li Sunroof (COE till 09/2029),109800,910,124000,15558,2009/09/24,7 yrs 0 mths ,7,0,Carbuyer
1483,JAGUAR XF 2.0P 200PS,123800,1340,28000,18305,2017/11/30,5 yrs 2 mths ,5,2,Carbuyer
1484,Renault Captur 1.5A dCi,35800,808,87000,13997,2015/01/22,2 yrs 4 mths ,2,4,Carbuyer
1485,MAZDA MAZDA3 SP 1.6L A/T ABS D/AB 2WD 4DR HID,28500,1743,80800,21670,2013/07/24,10 mths ,10,0,Carbuyer
1486,Lexus RX450h Hybrid (COE till 09/2030),102000,845,175000,12629,2010/11/30,8 yrs 0 mths ,8,0,Carbuyer
1488,BMW M Series M235i Coupe,109800,1956,118000,28204,2015/09/25,3 yrs 0 mths ,3,0,Carbuyer
1489,AUDI A4 AVANT 3.2 FSI QU S/L AT ABS D/AB HID,81800,740,112000,12754,2009/02/26,6 yrs 4 mths ,6,4,Carbuyer
1490,MERCEDES BENZ C180 AVANTGARDE (R17 LED),83800,1419,129000,20696,2015/06/11,3 yrs 2 mths ,3,2,Carbuyer
1491,MASERATI GRANTURISMO SPORT,218800,4939,49000,49549,2015/08/01,2 yrs 4 mths ,2,4,Carbuyer
1492,SEAT Ateca 1.4A TSI Style,113800,943,18000,13697,2019/11/14,7 yrs 2 mths ,7,2,Carbuyer
1493,Mercedes-Benz C-Class C180 CGI (New 10-yr COE),59800,496,50000,4842,2012/10/22,9 yrs 2 mths ,9,2,Carbuyer
1494,Mercedes-Benz C-Class C200 Sport Sunroof,136800,1459,53008,21526,2017/12/28,5 yrs 3 mths ,5,3,Carbuyer
1495,Mercedes-Benz C-Class C63 AMG Premium Plus,388888,3222,18000,37674,2021/08/23,8 yrs 11 mths ,8,11,Carbuyer
1496,Mercedes-Benz CLA-Class CLA180,57888,1720,118888,26708,2014/06/26,1 yrs 9 mths ,1,9,Carbuyer
