,car_name,price,instalment,mileage,depreciation,purchase_date,remaining,remaining_years,remaining_months,source
813,BMW 4 Series Gran Coupé 428i Sport (A),92800,2026,67440,27197,2015/09/02,2 yrs 5 mths ,2,5,Carbuyer
814,Lexus ES 250 2.5 Luxury (A),158800,1487,81109,21183,2018/10/15,6 yrs 1 mths ,6,1,Carbuyer
815,B.M.W. Z4 SDRIVE 23I 2.5L AT ABS D/AB 2WD HID,98888,820,107000,12128,2010/10/29,8 yrs 1 mths ,8,1,Carbuyer
816,MERCEDES BENZ C200 A/T ABS D/AIRBAG 2WD 4DR,110888,1639,126000,22719,2016/05/26,3 yrs 8 mths ,3,8,Carbuyer
817,Peugeot Partner 1.5 BlueHDi LWB (A),69800,585,60000,9971,2019/08/14,6 yrs 11 mths ,6,11,Carbuyer
818,Toyota Hiace Standard Roof Diesel 3.0 DX Van [Euro VI] (M),58800,665,147000,11651,2017/08/31,4 yrs 11 mths ,4,11,Carbuyer
819,June 2016 Honda Vezel  1.5 X (A),56800,823,108000,13645,2016/06/17,3 yrs 9 mths ,3,9,Carbuyer
820,Mercedes-Benz GLA-Class GLA180 (A),135800,1137,39000,17132,2019/04/09,6 yrs 11 mths ,6,11,Carbuyer
821,Mercedes-Benz CLA-Class CLA200 AMG Line Premium Plus,174800,1448,42000,21147,2019/09/19,7 yrs 0 mths ,7,0,Carbuyer
829,Suzuki Swift Sport 1.4M,157800,1308,88,17439,2021/01/26,8 yrs 4 mths ,8,4,Carbuyer
830,Porsche Panamera Turbo 4.8A PDK (COE till 09/2029),168800,1399,138529,23853,2010/08/01,7 yrs 0 mths ,7,0,Carbuyer
831,Mazda MX-5 1.6M (COE till 04/2031),85588,709,384000,9886,1991/04/11,8 yrs 7 mths ,8,7,Carbuyer
832,BMW M Series M235i Coupe,99888,2255,132099,31594,2015/01/21,2 yrs 4 mths ,2,4,Carbuyer
833,BMW M Series M3 Coupe (New 10-yr COE),191888,1590,144000,14757,2012/06/12,10 yrs 3 mths ,10,3,Carbuyer
834,Nissan GTR 3.8A (COE till 04/2028),284888,2877,18000,50749,2008/04/15,5 yrs 7 mths ,5,7,Carbuyer
835,Mercedes-Benz GLA-Class GLA45 AMG 4MATIC,152888,2127,95000,30192,2016/01/09,3 yrs 11 mths ,3,11,Carbuyer
837,Mercedes-Benz CLA-Class CLA45 S AMG 4MATIC+ Premium Plus,339888,2816,5005,32262,2021/09/27,9 yrs 0 mths ,9,0,Carbuyer
838,Honda Civic SIR EK4 (COE till 03/2029,95888,847,250000,14583,1999/05/25,6 yrs 6 mths ,6,6,Carbuyer
839,Mercedes-Benz C-Class C180 Coupe (COE till 09/2031),118888,985,166000,13194,2011/07/09,9 yrs 0 mths ,9,0,Carbuyer
840,Porsche Boxster 2.9A PDK (COE till 11/2029),162888,1350,95000,22486,2009/02/12,7 yrs 2 mths ,7,2,Carbuyer
841,BMW 3 Series 318i,127888,1183,14598,17496,2018/11/16,6 yrs 2 mths ,6,2,Carbuyer
842,BMW M M Series M140i 3.0 5-door (A),181800,1789,71316,27287,2018/06/26,5 yrs 9 mths ,5,9,Carbuyer
843,Honda Fit 1.3 G F-Package HID (A),86800,719,39000,11115,2020/03/19,7 yrs 6 mths ,7,6,Carbuyer
844,Skoda Octavia 2.0A TSI RS,135800,1125,36000,16237,2020/02/21,7 yrs 5 mths ,7,5,Carbuyer
845,BMW 3 Series 318i Sport,98800,1172,77000,17626,2017/05/30,4 yrs 8 mths ,4,8,Carbuyer
846,Subaru XV 2.0i-S EyeSight,129800,1076,15000,13664,2021/08/13,8 yrs 11 mths ,8,11,Carbuyer
848,Honda Jazz 1.5A L (COE till 12/2028),58800,538,131000,9376,2008/11/12,6 yrs 3 mths ,6,3,Carbuyer
849,Nissan NV200 1.5M,46500,570,106000,10071,2017/03/30,4 yrs 6 mths ,4,6,Carbuyer
850,Mercedes-Benz E-Class E250,81800,1786,135000,22905,2015/09/02,2 yrs 5 mths ,2,5,Carbuyer
851,Mercedes-Benz C-Class C180K (COE till 02/2031),85800,711,125000,10106,2011/04/08,8 yrs 5 mths ,8,5,Carbuyer
852,Mercedes-Benz C-Class C160 Avantgarde,168800,1399,16600,18231,2020/05/11,8 yrs 1 mths ,8,1,Carbuyer
854,Mercedes-Benz S-Class S500 Coupe AMG Line Premium,333000,4724,33700,60406,2016/11/07,3 yrs 10 mths ,3,10,Carbuyer
855,Mercedes-Benz S-Class S300L (COE till 02/2027),63800,795,141000,14357,2007/02/13,4 yrs 5 mths ,4,5,Carbuyer
856,Maserati GranTurismo 4.2A (COE till 04/2031),188000,1558,119946,21660,2011/09/05,8 yrs 8 mths ,8,8,Carbuyer
857,BMW 4 Series 420i Coupe M-Sport Sunroof,79888,2911,95388,37407,2014/02/14,1 yrs 5 mths ,1,5,Carbuyer
858,Honda Vezel 1.5A X,63800,839,47000,13967,2016/11/25,4 yrs 2 mths ,4,2,Carbuyer
860,Toyota 86 2.0A High Grade (New 10-yr COE),145800,1208,154000,14746,2012/07/22,9 yrs 10 mths ,9,10,Carbuyer
861,Toyota GR Supra 3.0A RZ,287800,2384,7000,28835,2021/04/22,8 yrs 7 mths ,8,7,Carbuyer
862,Honda Stream 1.8A X (COE till 10/2028),73800,691,152000,12031,2008/10/22,6 yrs 1 mths ,6,1,Carbuyer
863,Mercedes-Benz SL-Class SL280 (COE till 06/2026),86800,1257,137945,22711,1996/06/23,3 yrs 9 mths ,3,9,Carbuyer
864,Mercedes-Benz S-Class S400L Hybrid,130800,4074,92000,33873,2014/05/21,1 yrs 8 mths ,1,8,Carbuyer
865,Mazda RX-8 1.3A (COE till 11/2027),60800,658,140000,11601,2008/04/16,5 yrs 2 mths ,5,2,Carbuyer
866,Toyota Prius Plus Hybrid 1.8A,140800,1167,15000,15678,2020/11/23,8 yrs 2 mths ,8,2,Carbuyer
867,Toyota Harrier Turbo 2.0A G (OPC),125500,1097,36000,15966,2019/04/30,6 yrs 7 mths ,6,7,Carbuyer
868,Mercedes-Benz GLC-Class GLC250 4MATIC,162800,1900,36700,28232,2017/06/28,4 yrs 9 mths ,4,9,Carbuyer
869,BMW 5 Series 523i Highline (COE till 12/2030),99800,827,170000,12030,2010/12/20,8 yrs 3 mths ,8,3,Carbuyer
870,Porsche Cayenne 3.6A Tip (New 10-yr COE),172800,1432,160000,17299,2012/08/29,9 yrs 11 mths ,9,11,Carbuyer
872,Volkswagen Passat 1.8A TFSI Sunroof,76200,1230,69214,17887,2016/01/27,3 yrs 4 mths ,3,4,Carbuyer
873,Honda Jazz 1.5A RS,76000,778,80147,12188,2018/03/27,5 yrs 6 mths ,5,6,Carbuyer
874,Suzuki Swift Sport 1.6M (COE till 09/2030),73800,612,110000,9137,2010/03/11,8 yrs 0 mths ,8,0,Carbuyer
875,Land Rover Range Rover Evoque 2.0A 5DR,95800,2092,73000,24398,2015/02/27,2 yrs 5 mths ,2,5,Carbuyer
876,Infiniti Q50 2.0A T Premium,91800,1125,75000,15815,2017/03/31,4 yrs 6 mths ,4,6,Carbuyer
877,Mini Cooper S Clubman 2.0A,115800,1351,69000,19974,2017/06/27,4 yrs 9 mths ,4,9,Carbuyer
878,Porsche Macan S 3.0A PDK,246800,2670,55000,37483,2017/11/24,5 yrs 2 mths ,5,2,Carbuyer
879,BMW M Series M850i Coupe xDrive,459800,3809,8500,44282,2020/09/30,8 yrs 0 mths ,8,0,Carbuyer
880,Subaru Levorg 1.6A GT-S,79800,1180,83000,17517,2016/05/30,3 yrs 8 mths ,3,8,Carbuyer
881,Skoda Karoq 1.5A TSI Style,135800,1125,33000,15291,2020/03/08,7 yrs 10 mths ,7,10,Carbuyer
882,Mercedes-Benz GLC-Class GLC250 AMG Line 4MATIC Sunroof,156800,1673,56000,24497,2017/12/29,5 yrs 3 mths ,5,3,Carbuyer
883,Subaru Forester 2.0i-L Sunroof,56800,1012,109000,16352,2015/09/21,3 yrs 0 mths ,3,0,Carbuyer
884,Audi A5 Cabriolet 2.0A TFSI Quattro S-tronic (COE till 08/2030),97800,811,94000,12343,2010/06/08,7 yrs 11 mths ,7,11,Carbuyer
885,Audi A4 2.0A TFSI S-tronic,132800,1243,54000,18526,2018/10/19,6 yrs 1 mths ,6,1,Carbuyer
886,BMW 7 Series 730Li Sunroof,211800,2197,69500,28360,2018/02/28,5 yrs 5 mths ,5,5,Carbuyer
887,BMW 2 Series 220i Coupe M-Sport Sunroof,74800,1881,85000,27450,2014/10/24,2 yrs 1 mths ,2,1,Carbuyer
888,Nissan NV200 1.6 Panel Van (A),45800,527,75140,9274,2017/07/26,4 yrs 10 mths ,4,10,Carbuyer
889,Mitsubishi Evolution 10 GSR (COE till 09/2028),172800,1637,111000,28436,2008/09/26,6 yrs 0 mths ,6,0,Carbuyer
890,Mazda MX-5 2.0A,88800,1401,98500,19898,2016/02/03,3 yrs 5 mths ,3,5,Carbuyer
891,Mazda CX-5 2.0 (A),119800,993,55000,15526,2019/10/09,7 yrs 0 mths ,7,0,Carbuyer
