model,price,instalment,mileage,num_of_owners,depreciation,reg_date,coe_left,coe_left_yrs,coe_left_mths,coe_months,source
Honda Odyssey 2.4A EX-S,120888,1396,65295,1,18730,02 May 18 ,5yrs 7mths left,5,7,67,Carro
Honda Shuttle 1.5A G Honda Sensing,110888,1046,18172,1,12000,16 Sep 21 ,9yrs left,9,0,108,Carro
Honda Civic 1.6A VTi (OPC),117888,1112,5100,1,12650,16 Mar 21 ,8yrs 6mths left,8,6,102,Carro
Honda Civic 1.6A VTi-S,60888,1133,101390,1,14870,11 Jan 16 ,3yrs 4mths left,3,4,40,Carro
Honda HR-V 1.5A DX,101888,961,80000,2,12460,14 Jan 20 ,7yrs 4mths left,7,4,88,Carro
Honda Shuttle 1.5A G Honda Sensing,104888,990,24000,1,11680,12 May 21 ,8yrs 8mths left,8,8,104,Carro
Hyundai Avante 1.6A (COE till 09/2024),18888,572,137774,2,9130,30 Sep 09 ,2yrs left,2,0,24,Carro
Hyundai Avante 1.6A S (OPC),110888,1046,8042,1,11680,13 Dec 21 ,9yrs 3mths left,9,3,111,Carro
Hyundai Elantra 1.6A (COE till 07/2026),44888,733,131169,2,11490,13 Sep 11 ,3yrs 10mths left,3,10,46,Carro
Hyundai Avante 1.6A GLS S,96888,914,25341,1,12040,07 Feb 20 ,7yrs 5mths left,7,5,89,Carro
Hyundai Tucson 1.6A GLS T-GDi DCT Turbo,127888,1206,33272,2,16170,13 Nov 19 ,7yrs 2mths left,7,2,86,Carro
Hyundai Elantra 1.6A GLS,65888,960,90000,1,12960,27 Jan 17 ,4yrs 4mths left,4,4,52,Carro
Hyundai Elantra 1.6A GLS,75588,818,95796,2,11510,13 Sep 18 ,6yrs left,6,0,72,Carro
Hyundai Tucson 1.6A GLS T-GDi DCT Turbo S,132888,1254,60147,1,16690,21 Jan 20 ,7yrs 4mths left,7,4,88,Carro
Hyundai Avante 1.6A S,113888,1074,16685,1,12630,30 Jun 21 ,8yrs 9mths left,8,9,105,Carro
Hyundai Avante 1.6A GLS,87888,829,205185,3,11300,20 Nov 19 ,7yrs 2mths left,7,2,86,Carro
Hyundai Avante 1.6A GLS,87888,876,59948,2,12210,11 Apr 19 ,6yrs 7mths left,6,7,79,Carro
Hyundai Elantra 1.6A GLS,80888,854,82038,2,12070,08 Nov 18 ,6yrs 2mths left,6,2,74,Carro
Hyundai Accent 1.4A (OPC),64888,669,24248,1,9550,09 Jan 19 ,6yrs 4mths left,6,4,76,Carro
Hyundai Avante 1.6A Elite Sunroof,128888,1042,7000,1,13420,27 Dec 21 ,9yrs 3mths left,9,3,111,Carro
Hyundai Avante 1.6A GLS S,102888,971,21000,1,11950,25 Aug 20 ,7yrs 11mths left,7,11,95,Carro
Hyundai Elantra 1.6A GLS S (OPC),65888,805,23800,1,11340,16 Dec 17 ,5yrs 3mths left,5,3,63,Carro
Hyundai Tucson 1.6A GLS T-GDi DCT Turbo,103888,1111,118355,1,15290,25 Oct 18 ,6yrs 1mths left,6,1,73,Carro
Hyundai Accent 1.4A (OPC),7888,1390,185446,2,1571,22 Jan 08 ,4mths left,0,4,4,Carro
Hyundai Elantra 1.6A,26888,1206,209249,4,14870,16 Jan 14 ,1yrs 4mths left,1,4,16,Carro
Hyundai Accent 1.4A (Off-Peak Car),69888,681,14342,1,9630,19 Jun 19 ,6yrs 9mths left,6,9,81,Carro
Hyundai Veloster 1.6A,54888,1021,167885,1,13620,27 Jan 16 ,3yrs 4mths left,3,4,40,Carro
Hyundai Kona Electric 39.2kWh Sunroof,155888,1261,7542,1,17620,19 May 21 ,8yrs 8mths left,8,8,104,Carro
Hyundai Elantra 1.6A GLS,68388,873,36607,1,12400,06 Sep 17 ,5yrs left,5,0,60,Carro
Hyundai Elantra 1.6A GLS (OPC),63888,709,43748,1,9960,20 Jul 18 ,5yrs 10mths left,5,10,70,Carro
Jeep Wrangler Unlimited Sahara,260888,2109,7167,1,27080,08 Jun 21 ,8yrs 9mths left,8,9,105,Carro
Jeep Renegade Limited 1.4A,93388,986,50888,1,12710,30 Nov 18 ,6yrs 2mths left,6,2,74,Carro
Kia Cerato 1.6A EX,86888,866,66640,1,12000,24 Apr 19 ,6yrs 7mths left,6,7,79,Carro
Kia Cerato K3 1.6A,75388,883,42975,1,12490,02 Apr 18 ,5yrs 6mths left,5,6,66,Carro
Kia Cerato 1.6A LX (OPC),92888,876,21660,1,10420,12 Jan 21 ,8yrs 4mths left,8,4,100,Carro
Kia Cerato Forte 1.6M EX (COE till 04/2029),53888,537,236606,3,8090,28 Jul 09 ,6yrs 7mths left,6,7,79,Carro
Kia Cerato K3 1.6A,53888,845,387439,1,11590,15 Sep 16 ,4yrs left,4,0,48,Carro
Kia Stinger 2.0A Sunroof,172888,1398,43141,1,19400,22 Jul 20 ,7yrs 10mths left,7,10,94,Carro
Kia Sorento Diesel 2.2A CRDi Sunroof,100888,1269,137348,2,16490,31 Oct 17 ,5yrs 1mths left,5,1,61,Carro
Kia Soul 1.6A (COE till 12/2030),82888,782,81677,2,10010,15 Dec 10 ,8yrs 3mths left,8,3,99,Carro
Kia Seltos 1.4A EX,118888,1122,15465,1,13190,14 Jan 21 ,8yrs 4mths left,8,4,100,Carro
Kia Cerato 1.6A EX (OPC),87888,829,17000,1,9930,16 Oct 20 ,8yrs 1mths left,8,1,97,Carro
Kia Cerato 1.6A EX,114888,1084,18551,1,12090,28 Jul 21 ,8yrs 10mths left,8,10,106,Carro
Kia Sorento 2.4A SX Sunroof,169888,1374,49875,1,19500,21 Jul 20 ,7yrs 10mths left,7,10,94,Carro
Kia Cerato 1.6A,57888,590,34448,1,8930,27 Feb 09 ,6yrs 5mths left,6,5,77,Carro
Kia Cerato 1.6A LX,87888,829,23250,1,10960,25 Feb 20 ,7yrs 5mths left,7,5,89,Carro
Kia Cerato 1.6A LX,77888,759,185000,2,10550,26 Jun 19 ,6yrs 9mths left,6,9,81,Carro
Kia Soul 1.6A,73888,697,263692,3,9170,23 Sep 10 ,8yrs left,8,0,96,Carro
Kia Cerato K3 1.6A,67888,841,23266,1,11810,21 Nov 17 ,5yrs 2mths left,5,2,62,Carro
Kia Sorento Diesel 2.2A CRDi Sunroof,91888,1271,132507,1,15460,24 Apr 17 ,4yrs 7mths left,4,7,55,Carro
Kia Cerato Forte Koup 1.6M SX Sunroof (COE till 03/2025),30888,755,96538,4,12020,28 Feb 11 ,2yrs 6mths left,2,6,30,Carro
Kia Cerato 1.6A LX,75888,822,65253,1,11680,10 Sep 18 ,6yrs left,6,0,72,Carro
Kia Sorento 2.4A SX,62388,1434,100961,2,16210,29 May 15 ,2yrs 8mths left,2,8,32,Carro
Kia Cerato Forte 1.6M SX,8388,0,173340,2,5793,19 Apr 12 ,4mths left,0,4,4,Carro
Kia Cerato Forte 1.6A SX,26388,607,139599,2,9670,20 Jan 10 ,2yrs 4mths left,2,4,28,Carro
Kia Niro Hybrid 1.6A GDi DCT Sunroof,77888,995,16574,1,15010,12 May 17 ,4yrs 8mths left,4,8,56,Carro
Land Rover Range Rover Evoque 2.0A 5DR,127888,1542,138162,3,21580,30 Mar 17 ,4yrs 6mths left,4,6,54,Carro
Land Rover Defender 90,298888,2416,5116,2,30020,30 Jun 21 ,8yrs 9mths left,8,9,105,Carro
Land Rover Discovery 2.0A Si4 HSE 7-Seater,230888,1867,11000,1,26060,18 Oct 19 ,7yrs 1mths left,7,1,85,Carro
Land Rover Discovery Sport Diesel 2.0A SE,112888,1588,112995,2,19390,23 Mar 17 ,4yrs 6mths left,4,6,54,Carro
Land Rover Discovery Sport 2.0A Si4 HSE 7-Seater Sunroof,108888,1742,74312,1,19610,30 Aug 16 ,3yrs 11mths left,3,11,47,Carro
Land Rover Range Rover Evoque 2.0A 5DR Sunroof,124888,1712,53502,1,20680,15 Apr 16 ,3yrs 7mths left,3,7,43,Carro
Land Rover Range Rover Evoque 2.0A 5DR,96888,2162,76894,1,21920,27 Feb 15 ,2yrs 5mths left,2,5,29,Carro
Land Rover Range Rover Velar 2.0A Si4 R-Dynamic Sunroof,218888,1828,36409,1,24950,22 Nov 18 ,6yrs 2mths left,6,2,74,Carro
Land Rover Evoque Convertible 2.0 Si4,193888,0,48700,2,0,22 Mar 18 ,5yrs 6mths left,5,6,66,Carro
Lexus IS Turbo IS200t Executive,98888,1614,92647,2,19710,25 Jul 16 ,3yrs 10mths left,3,10,46,Carro
Lexus ES250 Executive Sunroof,93888,1632,55253,2,20200,08 Apr 16 ,3yrs 7mths left,3,7,43,Carro
Lexus ES250 Executive Sunroof,204888,1657,13727,1,20090,01 Sep 21 ,8yrs 11mths left,8,11,107,Carro
Lexus IS Turbo IS300 Executive,158388,1308,45484,1,19720,09 Jul 19 ,6yrs 10mths left,6,10,82,Carro
Lexus RX450h Hybrid (COE till 09/2029),86888,703,207640,6,12280,20 Jan 10 ,7yrs left,7,0,84,Carro
Lexus NX Hybrid NX300h Luxury,87888,2019,130209,2,23410,29 May 15 ,2yrs 8mths left,2,8,32,Carro
Lexus ES250 Executive Sunroof,121888,1510,131164,1,19290,21 Nov 17 ,5yrs 2mths left,5,2,62,Carro
Lexus ES250 Sunroof,73888,1649,216383,3,19060,26 Jun 15 ,2yrs 9mths left,2,9,33,Carro
Lexus UX200 Executive,169888,1374,7664,1,17580,26 Feb 21 ,8yrs 5mths left,8,5,101,Carro
Lexus ES250 Sunroof,91888,1531,64368,1,18610,27 Feb 16 ,3yrs 5mths left,3,5,41,Carro
Lexus RX Turbo RX200t Executive,125688,2051,68033,1,24490,03 Mar 16 ,3yrs 5mths left,3,5,41,Carro
Lexus LS460,54888,0,162443,3,47470,17 Apr 12 ,4mths left,0,4,4,Carro
Lexus NX Turbo NX200t Executive,110888,1615,66000,3,19470,26 Aug 16 ,3yrs 11mths left,3,11,47,Carro
Lexus ES250 Luxury Sunroof,88888,1545,94546,3,17530,30 Nov 15 ,3yrs 2mths left,3,2,38,Carro
Lexus Gs250 Premium Auto,37888,26564,58938,1,27521,07 May 12 ,3mths left,0,3,3,Carro
Lexus IS Turbo IS200t Executive,92588,1348,96037,1,16190,23 Jun 16 ,3yrs 9mths left,3,9,45,Carro
Lexus NX Hybrid NX300h Executive,188888,1527,17863,1,17990,17 Dec 20 ,8yrs 3mths left,8,3,99,Carro
Lexus NX Turbo NX200t Executive,118988,1831,131098,2,22690,23 Feb 16 ,3yrs 5mths left,3,5,41,Carro
Lexus NX Turbo NX200t F Sport,93888,1597,107233,2,17530,16 Sep 15 ,3yrs left,3,0,36,Carro
Lexus RX Turbo RX200t Luxury Sunroof,125888,1660,119266,2,21540,17 Feb 16 ,3yrs 5mths left,3,5,41,Carro
Lexus IS Turbo IS200t Executive,93888,1321,104552,1,15680,16 Sep 16 ,4yrs left,4,0,48,Carro
Lexus NX Turbo NX200t Luxury Sunroof,100888,1614,133943,1,18250,23 Dec 15 ,3yrs 3mths left,3,3,39,Carro
Lexus IS Turbo IS200t Executive,116667,1204,70176,1,17400,31 Mar 17 ,4yrs 6mths left,4,6,54,Carro
Lexus IS Turbo IS200t Executive,150400,1574,69588,1,24200,12 Jul 17 ,4yrs 10mths left,4,10,58,Carro
Mazda MX-5 Roadster 2.0A RHT (COE till 10/2029),126888,1197,109211,6,17720,07 Nov 09 ,7yrs 1mths left,7,1,85,Carro
Mazda 3 1.5A,84888,897,49132,1,12490,21 Nov 18 ,6yrs 2mths left,6,2,74,Carro
Mazda CX-3 2.0A Standard,92888,905,54277,2,12360,28 Jun 19 ,6yrs 9mths left,6,9,81,Carro
Mazda 3 1.5A,53588,932,65865,3,13150,29 Apr 16 ,3yrs 7mths left,3,7,43,Carro
Mazda 3 1.5A,75888,877,134234,2,12160,30 Apr 18 ,5yrs 7mths left,5,7,67,Carro
Mazda 6 2.0A,60888,1251,132674,3,16520,23 Sep 15 ,3yrs left,3,0,36,Carro
Mazda 3 1.5A Sunroof,74888,986,207962,2,14470,05 Jul 17 ,4yrs 9mths left,4,9,57,Carro
Mazda 6 2.0A,47888,1101,120127,3,16220,18 May 15 ,2yrs 8mths left,2,8,32,Carro
Mazda 3 HB 1.5A Deluxe Sunroof,85588,963,61310,2,13260,21 Jun 18 ,5yrs 9mths left,5,9,69,Carro
Mazda CX-3 2.0A,89888,973,57515,1,13460,19 Sep 18 ,6yrs left,6,0,72,Carro
Mazda 6 2.5A Sunroof,61888,1239,217208,3,15640,02 Nov 15 ,3yrs 1mths left,3,1,37,Carro
Mazda 3 Mild Hybrid 1.5A Elegance,116388,1098,20584,1,13290,22 Oct 20 ,8yrs 1mths left,8,1,97,Carro
Mazda 6 2.0A,101888,1051,61914,1,14420,29 Jan 19 ,6yrs 4mths left,6,4,76,Carro
Mazda 3 Mild Hybrid 1.5A Elegance,125888,1018,16688,1,13240,28 Oct 21 ,9yrs 1mths left,9,1,109,Carro
Mazda 5 2.0A Sunroof,73888,1039,82000,1,14090,24 Mar 17 ,4yrs 6mths left,4,6,54,Carro
Mazda 3 1.5A Deluxe,60888,994,94127,2,14020,14 Jul 16 ,3yrs 10mths left,3,10,46,Carro
Mazda 3 Mild Hybrid 1.5A Classic,104888,990,57728,1,12500,04 Aug 20 ,7yrs 10mths left,7,10,94,Carro
Mazda 3 Mild Hybrid 1.5A Classic,122888,1159,5743,1,12880,04 Jan 22 ,9yrs 3mths left,9,3,111,Carro
Mazda 3 HB 1.5A Deluxe,49888,951,119250,2,13570,18 Dec 15 ,3yrs 3mths left,3,3,39,Carro
Mazda 3 1.5A,66888,867,107845,4,12430,29 Aug 17 ,4yrs 11mths left,4,11,59,Carro
Mazda 2 HB 1.5A,83588,824,29229,1,11360,22 May 19 ,6yrs 8mths left,6,8,80,Carro
Mazda 6 2.5A Sunroof,64888,1236,171057,3,15430,24 Dec 15 ,3yrs 3mths left,3,3,39,Carro
Mazda CX-8 2.5A Elegance 7 Seater,184888,1495,15800,1,18960,30 Jun 21 ,8yrs 9mths left,8,9,105,Carro
Mazda 6 2.5A Sunroof,63888,1161,140958,1,14060,26 Feb 16 ,3yrs 5mths left,3,5,41,Carro
Mercedes-Benz E-Class E200 AMG Edition E,110888,1847,49529,2,20560,16 Jun 16 ,3yrs 9mths left,3,9,45,Carro
Mercedes-Benz C-Class C200 Edition C,58888,2641,69140,2,24570,15 Jan 14 ,1yrs 4mths left,1,4,16,Carro
Mercedes-Benz GLB-Class GLB250 4MATIC 7-Seater,287888,2327,13902,1,29320,25 Aug 21 ,8yrs 11mths left,8,11,107,Carro
Mercedes-Benz SLK-Class SLK200K (COE till 01/2030),92888,751,126894,3,12530,08 Feb 10 ,7yrs 4mths left,7,4,88,Carro
Mercedes-Benz CLA-Class CLA200 Shooting Brake Urban,110888,1508,64790,1,19890,12 May 17 ,4yrs 8mths left,4,8,56,Carro
Mercedes-Benz A-Class A200 AMG Line Premium,173888,1406,17842,1,17410,24 Sep 21 ,9yrs left,9,0,108,Carro
Mercedes-Benz B-Class B180 Style,65888,1255,137487,3,16600,09 Dec 15 ,3yrs 3mths left,3,3,39,Carro
Mercedes-Benz A-Class A180 Style,74888,1198,76731,4,16410,25 Aug 16 ,3yrs 11mths left,3,11,47,Carro
Mercedes-Benz R-Class R350L (COE till 12/2028),78888,706,179309,5,12460,09 Feb 09 ,6yrs 3mths left,6,3,75,Carro
Mercedes-Benz GLA-Class GLA200,150888,1303,48510,2,19460,06 Mar 19 ,6yrs 6mths left,6,6,78,Carro
Mercedes-Benz CLA-Class CLA180 Progressive,198888,1608,13520,1,19420,16 Dec 21 ,9yrs 3mths left,9,3,111,Carro
Mercedes-Benz A-Class Saloon A200 Progressive,176888,1430,42413,2,21840,29 Nov 19 ,7yrs 2mths left,7,2,86,Carro
Mercedes-Benz CLA-Class CLA180 AMG Line,182888,1479,32888,1,19790,24 Oct 20 ,8yrs 1mths left,8,1,97,Carro
Mercedes-Benz CLA-Class CLA180 Shooting Brake Urban,122888,1382,69657,1,17970,26 Jun 18 ,5yrs 9mths left,5,9,69,Carro
Mercedes-Benz CLA-Class CLA200 Urban,110888,1460,43316,3,19620,27 Jul 17 ,4yrs 10mths left,4,10,58,Carro
Mercedes-Benz GLB-Class GLB35 AMG 4MATIC 7-Seater,265888,2150,26872,1,27840,26 Mar 21 ,8yrs 6mths left,8,6,102,Carro
Mercedes-Benz CLA-Class CLA180 Progressive,182888,1479,34844,1,20210,09 Oct 20 ,8yrs 1mths left,8,1,97,Carro
Mercedes-Benz C-Class C200 Avantgarde,170888,1382,80125,1,20520,18 Sep 19 ,7yrs left,7,0,84,Carro
Mercedes-Benz CLA-Class CLA200 AMG Line,203888,1648,1643,1,19560,27 Dec 21 ,9yrs 3mths left,9,3,111,Carro
Mercedes-Benz C-Class C180 Coupe,212888,1721,30625,1,22620,04 Jan 21 ,8yrs 3mths left,8,3,99,Carro
Mercedes-Benz C-Class C200 Avantgarde,72888,1903,162606,3,23710,28 Jan 15 ,2yrs 4mths left,2,4,28,Carro
Mercedes-Benz A-Class A200 (COE till 04/2032),115888,937,133360,4,11140,18 Apr 13 ,9yrs 7mths left,9,7,115,Carro
Mercedes-Benz GLA-Class GLA180 Urban Edition,145888,1376,27198,1,17440,25 Mar 20 ,7yrs 6mths left,7,6,90,Carro
Mercedes-Benz C-Class C180 Avantgarde,122888,1593,61000,1,20350,18 Aug 17 ,4yrs 11mths left,4,11,59,Carro
Mitsubishi Attrage 1.2A,66888,690,112781,1,10070,25 Jan 19 ,6yrs 4mths left,6,4,76,Carro
Mitsubishi Attrage 1.2A,87888,829,37589,1,10210,15 Jan 21 ,8yrs 4mths left,8,4,100,Carro
Mitsubishi Lancer EX 1.6A,49888,951,155026,3,13410,14 Dec 15 ,3yrs 3mths left,3,3,39,Carro
Mitsubishi Attrage 1.2A,98888,933,12881,1,10260,26 Jan 22 ,9yrs 4mths left,9,4,112,Carro
Mitsubishi Attrage 1.2A (OPC),64888,669,20000,1,9740,30 Jan 19 ,6yrs 4mths left,6,4,76,Carro
Mitsubishi Lancer 1.6A GLX (COE till 12/2029),64888,612,299544,3,8910,16 Dec 09 ,7yrs 3mths left,7,3,87,Carro
Mitsubishi Lancer 1.6M (COE till 02/2023),8888,1255,301822,2,1990,19 Mar 08 ,5mths left,0,5,5,Carro
Mitsubishi Outlander 2.0A,172369,1626,18512,1,18360,28 Jul 21 ,8yrs 10mths left,8,10,106,Carro
Mitsubishi Outlander 2.0A,106888,1019,68626,1,13900,14 May 19 ,6yrs 8mths left,6,8,80,Carro
Mitsubishi i,388,0,176655,3,0,04 Jul 07 ,4mths left,0,4,4,Carro
Mitsubishi Attrage 1.2A (Off-Peak Car),68412,660,12941,1,9520,05 Apr 19 ,6yrs 6mths left,6,6,78,Carro
Mitsubishi Outlander 2.4A,78888,1007,53978,2,13490,25 May 17 ,4yrs 8mths left,4,8,56,Carro
Mitsubishi Lancer 1.6M GLX,2388,839,236126,4,843,25 Jun 07 ,2mths left,0,2,2,Carro
Mitsubishi Attrage 1.2A,68888,650,68001,1,9200,25 Jul 19 ,6yrs 10mths left,6,10,82,Carro
